Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
iRECEIVER_CTRL,4,16,1,1,17
n92,2,6,4,8,16
n91,4,12,2,4,13
n94,3,7,1,4,8
n93,3,7,1,4,15
iRECEIVER_state_2_,3,3,3,4,17
rec_dataH_rec[1],3,3,4,4,31
test_si,0,0,1,2,0
iXMIT_xmit_ShiftRegH_7_,3,3,4,4,4
iRECEIVER_bitCell_CTRL,4,10,1,1,21
rec_dataH_temp[2],3,6,2,2,20
test_so,0,0,0,0,0
test_se,0,0,58,84,0
\test_point/DOUT,3,4,8,15,3
iRECEIVER_state_1_,3,3,5,6,10
iXMIT_xmit_ShiftRegH_6_,3,3,3,3,4
n400,3,3,1,1,4
iRECEIVER_rec_datH,3,3,4,4,3
rec_dataH_temp[1],3,6,2,2,20
rec_dataH_rec[0],3,3,3,3,35
rec_dataH[0],3,3,1,1,8
iXMIT_next_state_1_,2,6,1,2,10
iRECEIVER_state_0_,3,3,5,18,11
rec_dataH_rec[3],3,3,4,4,23
iXMIT_state_CTRL,4,10,1,1,9
rec_dataH_temp[0],3,6,2,2,20
iXMIT_CRTL,4,16,1,1,6
iXMIT_next_state_2_,1,4,2,3,8
rec_dataH_rec[2],3,3,4,4,27
iRECEIVER_recd_bitCntrH_0_,3,3,4,6,5
iXMIT_N28,2,5,2,3,12
iXMIT_N29,2,5,2,2,9
iXMIT_N26,2,6,2,3,13
iXMIT_N27,2,5,2,2,8
xmit_dataH[0],0,0,1,1,0
iXMIT_N24,2,5,2,3,15
iXMIT_N25,2,5,2,3,15
iXMIT_N23,2,6,1,2,15
iXMIT_bitCell_cntrH_0_,3,3,4,7,4
iRECEIVER_recd_bitCntrH_1_,3,3,5,8,10
test_mode,0,0,0,0,0
n214,1,4,1,2,15
rec_dataH_rec[5],3,3,4,4,15
n211,2,5,1,1,2
n217,1,4,1,2,21
iXMIT_next_state_0_,2,7,1,2,8
iRECEIVER_recd_bitCntrH_2_,3,3,3,3,6
rec_dataH_rec[4],3,3,4,4,19
iXMIT_bitCell_cntrH_1_,3,3,4,7,8
1'b1,0,0,1,1,0
n202,3,8,1,2,2
uart_XMIT_dataH,3,9,0,0,7
n205,3,8,1,2,2
n208,3,8,1,2,2
xmit_dataH[2],0,0,1,1,0
iXMIT_N46,2,5,2,2,18
iXMIT_N44,2,6,2,2,18
iXMIT_N45,2,5,2,2,6
iRECEIVER_recd_bitCntrH_3_,3,3,4,5,17
\test_point/TM,0,0,1,1,0
iXMIT_bitCell_cntrH_2_,3,3,2,3,5
iRECEIVER_next_state_0_,4,13,1,2,26
rec_dataH_rec[7],3,3,4,6,7
sys_clk,0,0,77,226,0
n239,3,3,5,14,10
n118,3,3,1,2,1
n119,3,6,2,3,3
n116,1,4,1,1,33
n238,3,3,7,22,17
n117,3,6,3,8,3
rec_readyH,3,3,2,10,20
xmit_dataH[1],0,0,1,1,0
n220,1,4,1,1,21
n100,1,4,1,2,15
iRECEIVER_next_state_1_,4,8,1,2,8
n103,1,4,1,1,10
rec_dataH_rec[6],3,3,4,4,11
iXMIT_bitCell_cntrH_3_,3,3,3,6,14
n223,1,4,1,2,18
n106,1,4,1,2,24
n109,1,4,1,1,11
xmit_dataH[4],0,0,1,1,0
rec_dataH[6],3,3,1,1,15
iRECEIVER_bitCell_cntrH_2_,3,3,3,6,5
n260,3,3,1,1,4
n10,4,10,1,1,9
n261,3,3,1,1,4
n140,3,6,1,2,21
n12,4,10,1,1,10
n11,4,11,1,1,23
n253,3,3,1,1,17
n132,3,6,1,1,9
n254,3,3,2,6,14
n133,3,6,1,2,21
n130,1,4,1,1,25
n251,3,3,2,3,13
n252,3,3,1,1,5
n15,3,9,1,4,11
n131,3,4,1,3,34
n257,3,3,2,2,4
n18,1,2,9,9,19
n136,3,6,1,2,21
iRECEIVER_next_state_2_,2,3,2,3,15
n137,1,4,1,1,21
n258,3,3,1,1,4
n17,4,9,1,1,32
n255,3,3,3,6,2
n134,3,4,1,4,30
n256,3,3,1,2,5
n19,4,9,1,1,28
n135,3,6,1,1,11
n259,3,3,1,1,4
n138,3,4,1,4,26
iXMIT_bitCountH_0_,3,3,5,7,17
n139,3,6,1,1,13
xmit_dataH[3],0,0,1,1,0
iXMIT_state_2_,3,3,7,10,10
rec_dataH[5],3,3,1,1,18
n21,4,9,1,1,20
n370,2,0,1,1,1
iRECEIVER_bitCell_cntrH_1_,3,3,5,9,6
n250,3,3,2,3,16
n20,4,9,1,1,24
n371,1,2,1,8,2
n23,4,9,1,1,12
iRECEIVER_state_CTRL,4,11,1,1,16
n22,4,9,1,1,16
n242,3,3,4,7,10
n25,4,9,1,1,4
n121,3,5,2,6,3
n243,3,3,2,2,22
n24,4,9,1,1,8
n122,3,5,1,3,4
n27,4,6,1,1,1
n241,3,3,5,7,10
n26,1,3,8,8,12
iXMIT_xmit_CTRL,4,11,1,1,5
n120,3,5,1,4,4
n246,3,3,4,10,5
n29,2,4,8,8,12
n125,3,4,1,5,5
n247,3,3,2,3,5
n28,1,3,9,19,7
n126,3,4,2,6,4
n123,1,4,1,1,29
n244,3,3,1,2,5
n245,3,3,4,9,10
n124,3,4,2,5,5
n129,3,6,1,2,21
n248,3,3,3,3,4
n127,3,4,1,4,5
n249,3,3,2,3,11
n128,3,6,1,1,7
iRECEIVER_N28,2,5,1,1,23
iRECEIVER_N27,2,5,2,2,23
iRECEIVER_N26,2,6,2,2,23
xmit_dataH[6],0,0,1,1,0
iRECEIVER_N23,2,4,2,3,9
iRECEIVER_N22,2,4,2,3,10
iRECEIVER_N21,2,4,2,3,6
iRECEIVER_N20,2,5,2,3,2
n161,3,5,2,6,4
n31,4,6,1,1,1
n162,3,2,2,7,1
n281,3,3,1,2,4
n33,4,6,1,1,1
n160,3,5,2,5,4
n275,2,5,1,1,12
n154,3,6,1,1,8
n35,4,6,1,1,1
n155,3,4,1,4,6
n273,2,5,1,2,8
n152,3,4,1,4,10
n37,4,6,1,1,1
n274,2,6,2,3,11
n153,3,6,1,1,10
n158,1,4,1,1,9
n39,4,6,1,1,1
n159,3,5,2,4,4
n156,3,6,1,2,19
n157,3,5,2,10,16
iXMIT_bitCountH_2_,3,3,3,4,17
iRECEIVER_N19,2,5,2,3,13
xmit_dataH[5],0,0,1,1,0
iRECEIVER_N18,2,5,2,3,20
iRECEIVER_N17,2,6,2,3,16
n41,4,6,1,1,1
iRECEIVER_bitCell_cntrH_3_,3,3,3,5,12
n43,2,1,1,1,1
n271,2,5,1,2,19
n150,3,6,1,2,12
rec_dataH[7],3,3,1,1,11
iRECEIVER_rec_readyInH,3,9,1,1,18
n151,1,4,1,1,13
n42,3,8,1,1,5
n272,2,6,2,3,7
n45,4,9,1,1,14
n44,3,7,4,18,11
n270,2,6,2,3,18
n47,2,3,5,8,8
n143,3,6,1,2,20
n144,1,4,1,1,17
n46,2,3,4,4,13
n262,3,3,1,1,4
n49,4,9,1,1,20
n141,3,4,1,4,22
n263,3,3,1,1,4
n48,4,9,1,1,20
n142,3,6,1,1,15
n268,2,6,2,3,9
n147,3,6,1,2,16
n269,2,5,1,2,10
n148,3,4,1,4,14
n145,3,4,1,4,18
n146,3,6,1,1,17
iXMIT_bitCountH_1_,3,3,5,8,17
n149,3,6,1,1,14
n2,3,9,1,0,6
n3,3,9,1,1,5
rec_dataH_temp[7],3,6,1,1,9
rec_dataH[2],3,3,1,1,12
xmit_doneH_temp,3,3,2,1,6
n50,4,10,1,1,17
n7,4,10,1,1,14
n180,3,5,2,11,9
n8,2,6,13,21,18
n52,1,2,1,5,7
n9,3,9,4,4,18
n51,1,3,1,4,12
n54,2,6,4,4,6
iRECEIVER_N_CTRL_1_,4,9,1,1,5
n53,2,6,2,6,8
n56,3,8,1,1,11
n181,3,5,2,4,4
n55,3,7,2,2,11
n58,1,0,1,2,1
n176,3,4,1,5,4
iXMIT_xmit_ShiftRegH_3_,3,3,2,3,4
n57,2,6,4,6,15
n177,3,4,2,6,4
n174,3,4,2,4,16
n175,3,4,2,5,4
n178,3,5,2,8,4
n179,3,4,2,11,9
iXMIT_N_CTRL_2_,4,8,1,1,13
iRECEIVER_rec_datSyncH,3,3,2,4,2
rec_dataH_temp[6],3,6,2,2,13
xmitH,0,0,2,2,0
xmit_dataH[7],0,0,1,1,0
rec_dataH[1],3,3,1,1,10
n61,2,6,3,5,7
n60,4,9,1,2,7
n63,3,6,1,1,11
n62,2,5,3,3,11
n65,1,2,2,2,8
n172,3,6,2,4,3
n64,3,6,1,9,6
n173,3,5,1,4,3
n67,4,10,1,1,7
n170,3,6,2,3,3
iXMIT_xmit_ShiftRegH_1_,3,3,2,3,4
n66,2,6,3,3,6
iRECEIVER_N_CTRL_2_,4,8,1,1,11
n171,3,6,2,4,3
iXMIT_xmit_ShiftRegH_2_,3,3,2,3,4
n165,1,4,1,1,5
