Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
n92,2,6,4,4,16
n91,4,12,2,4,13
n94,3,7,1,4,8
n93,3,7,1,4,15
iRECEIVER_state_2_,3,3,2,3,17
rec_dataH_rec[1],3,3,4,4,31
test_si,0,0,1,2,0
iXMIT_xmit_ShiftRegH_7_,3,3,3,3,4
rec_dataH_temp[2],3,6,2,2,20
test_so,0,0,0,0,0
test_se,0,0,58,83,0
\test_point/DOUT,3,4,8,15,3
iRECEIVER_state_1_,3,3,4,5,10
iXMIT_xmit_ShiftRegH_6_,3,3,2,2,4
iRECEIVER_rec_datH,3,3,4,4,3
rec_dataH_temp[1],3,6,2,2,20
rec_dataH_rec[0],3,3,3,3,35
rec_dataH[0],3,3,1,1,8
iRECEIVER_state_0_,3,3,4,17,11
iXMIT_next_state_1_,2,6,1,2,10
rec_dataH_rec[3],3,3,4,4,23
rec_dataH_temp[0],3,6,2,2,20
iXMIT_next_state_2_,1,4,1,2,8
rec_dataH_rec[2],3,3,4,4,27
iRECEIVER_recd_bitCntrH_0_,3,3,4,5,5
iXMIT_N28,2,5,1,2,12
iXMIT_N29,2,5,1,1,9
iXMIT_N26,2,6,1,2,13
iXMIT_N27,2,5,1,1,8
xmit_dataH[0],0,0,1,1,0
iXMIT_N24,2,5,1,1,15
iXMIT_N25,2,5,1,1,15
iXMIT_N23,2,6,1,1,15
iXMIT_bitCell_cntrH_0_,3,3,4,7,4
iRECEIVER_recd_bitCntrH_1_,3,3,5,7,10
test_mode,0,0,0,0,0
n214,1,4,1,2,15
rec_dataH_rec[5],3,3,4,4,15
n211,2,5,1,1,2
n217,1,4,1,2,21
iXMIT_next_state_0_,2,7,1,2,8
iRECEIVER_recd_bitCntrH_2_,3,3,3,3,6
rec_dataH_rec[4],3,3,4,4,19
iXMIT_bitCell_cntrH_1_,3,3,4,7,8
1'b1,0,0,1,1,0
n202,3,8,1,2,2
uart_XMIT_dataH,3,9,0,0,7
n205,3,8,1,2,2
n208,3,8,1,2,2
xmit_dataH[2],0,0,1,1,0
iXMIT_N46,2,5,1,1,18
iXMIT_N44,2,6,1,1,18
iXMIT_N45,2,5,1,1,6
iRECEIVER_recd_bitCntrH_3_,3,3,4,5,17
\test_point/TM,0,0,1,1,0
iXMIT_bitCell_cntrH_2_,3,3,2,3,5
n115,3,6,2,7,3
iRECEIVER_next_state_0_,4,13,1,2,26
rec_dataH_rec[7],3,3,4,5,7
sys_clk,0,0,76,213,0
n239,3,3,5,14,10
n118,3,6,2,3,3
ena,0,0,0,0,0
n119,3,5,1,4,4
n116,1,4,1,1,33
n238,3,3,7,22,17
n117,3,3,1,2,1
rec_readyH,3,3,2,10,20
xmit_dataH[1],0,0,1,1,0
n220,1,4,1,1,21
n100,1,4,1,2,15
n103,1,4,1,1,10
iRECEIVER_next_state_1_,4,8,1,2,8
rec_dataH_rec[6],3,3,4,4,11
iXMIT_bitCell_cntrH_3_,3,3,3,5,14
n223,1,4,1,2,18
n106,1,4,1,2,24
n109,1,4,1,1,11
xmit_dataH[4],0,0,1,1,0
rec_dataH[6],3,3,1,1,15
iRECEIVER_bitCell_cntrH_2_,3,3,3,6,5
n260,3,3,1,1,4
n10,4,10,1,1,9
n261,3,3,1,1,4
n140,3,4,1,4,22
n12,4,10,1,1,10
n11,4,11,1,1,23
n253,3,3,1,1,17
n132,3,6,1,2,21
n254,3,3,2,5,14
n133,3,4,1,4,30
n130,1,4,1,1,25
n251,3,3,2,2,13
n252,3,3,1,1,5
n15,3,9,1,4,11
n131,3,6,1,1,9
n257,3,3,2,2,4
n18,1,2,9,9,19
n136,3,4,1,4,26
n137,1,4,1,1,21
iRECEIVER_next_state_2_,2,3,1,2,15
n258,3,3,1,1,4
n17,4,9,1,1,32
n255,3,3,3,5,2
n134,3,6,1,1,11
n256,3,3,1,2,5
n19,4,9,1,1,28
n135,3,6,1,2,21
n259,3,3,1,1,4
n138,3,6,1,1,13
iXMIT_bitCountH_0_,3,3,5,6,17
n139,3,6,1,2,21
xmit_dataH[3],0,0,1,1,0
iXMIT_state_2_,3,3,6,9,10
rec_dataH[5],3,3,1,1,18
n21,4,9,1,1,20
n370,2,0,1,1,1
iRECEIVER_bitCell_cntrH_1_,3,3,4,7,6
n250,3,3,2,2,16
n20,4,9,1,1,24
n371,1,2,1,8,2
n23,4,9,1,1,12
n22,4,9,1,1,16
n242,3,3,4,7,10
n25,4,9,1,1,4
n121,3,5,1,3,4
n243,3,3,2,2,22
n24,4,9,1,1,8
n122,3,4,2,5,5
n27,4,6,1,1,1
n241,3,3,5,7,10
n26,1,3,8,8,12
n120,3,5,2,6,3
n246,3,3,4,10,5
n29,2,4,8,8,12
n125,3,4,2,6,4
n247,3,3,2,2,5
n28,1,3,9,19,7
n126,3,4,1,4,5
n123,1,4,1,1,29
n244,3,3,1,2,5
n245,3,3,4,9,10
n124,3,4,1,5,5
n129,3,4,1,3,34
n248,3,3,3,3,4
n127,3,6,1,1,7
n249,3,3,2,2,11
n128,3,6,1,2,21
iRECEIVER_N28,2,5,1,1,23
iRECEIVER_N27,2,5,1,1,23
iRECEIVER_N26,2,6,1,1,23
xmit_dataH[6],0,0,1,1,0
iRECEIVER_N23,2,4,1,2,9
iRECEIVER_N22,2,4,1,2,10
iRECEIVER_N21,2,4,1,2,6
iRECEIVER_N20,2,5,1,2,2
n161,3,2,2,6,1
n31,4,6,1,1,1
n162,3,7,2,8,9
n281,3,3,1,2,4
n33,4,6,1,1,1
n160,3,5,2,5,4
n275,2,5,1,1,12
n154,3,4,1,4,6
n35,4,6,1,1,1
n155,3,6,1,2,19
n273,2,5,1,1,8
n152,3,6,1,1,10
n37,4,6,1,1,1
n274,2,6,2,2,11
n153,3,6,1,1,8
n158,1,4,1,1,9
n39,4,6,1,1,1
n159,3,5,2,5,4
n156,3,5,2,9,16
n157,3,5,2,4,4
iXMIT_bitCountH_2_,3,3,3,4,17
iRECEIVER_N19,2,5,1,1,13
xmit_dataH[5],0,0,1,1,0
iRECEIVER_N18,2,5,1,1,20
iRECEIVER_N17,2,6,1,1,16
n41,4,6,1,1,1
iRECEIVER_bitCell_cntrH_3_,3,3,3,4,12
n43,2,1,1,1,1
n271,2,5,1,1,19
n150,3,4,1,4,10
rec_dataH[7],3,3,1,1,11
iRECEIVER_rec_readyInH,3,9,1,1,18
n151,1,4,1,1,13
n42,3,8,1,1,5
n272,2,6,2,2,7
n45,4,9,1,1,14
n44,3,7,4,18,11
n270,2,6,2,2,18
n47,2,3,5,8,8
n143,3,4,1,4,18
n144,1,4,1,1,17
n46,2,3,4,4,13
n262,3,3,1,1,4
n49,4,9,1,1,20
n141,3,6,1,1,15
n263,3,3,1,1,4
n48,4,9,1,1,20
n142,3,6,1,2,20
n268,2,6,2,2,9
n147,3,4,1,4,14
n269,2,5,1,1,10
n148,3,6,1,1,14
n145,3,6,1,1,17
n146,3,6,1,2,16
iXMIT_bitCountH_1_,3,3,5,7,17
n149,3,6,1,2,12
n2,3,9,1,0,6
n3,3,9,1,1,5
rec_dataH_temp[7],3,6,1,1,9
rec_dataH[2],3,3,1,1,12
n50,4,10,1,1,17
n7,4,10,1,1,14
n180,3,5,2,4,4
n8,2,6,13,21,18
n52,1,2,1,5,7
n9,3,9,4,4,18
n51,1,3,1,4,12
n54,2,6,4,4,6
n53,2,6,2,6,8
n56,3,8,1,1,11
n55,3,7,2,2,11
n58,1,0,1,2,1
n176,3,4,2,6,4
iXMIT_xmit_ShiftRegH_3_,3,3,2,3,4
n57,2,6,4,6,15
n177,3,5,2,7,4
n174,3,4,2,5,4
n175,3,4,1,5,4
n178,3,4,2,10,9
n179,3,5,2,10,9
iRECEIVER_rec_datSyncH,3,3,2,3,2
rec_dataH_temp[6],3,6,2,2,13
xmitH,0,0,2,2,0
xmit_dataH[7],0,0,1,1,0
rec_dataH[1],3,3,1,1,10
n61,2,6,3,5,7
n60,4,9,1,1,7
n63,3,6,1,1,11
n62,2,5,3,3,11
n65,1,2,2,2,8
n172,3,5,1,3,3
n64,3,6,1,9,6
n173,3,4,2,4,16
n67,4,10,1,1,7
n170,3,6,2,3,3
iXMIT_xmit_ShiftRegH_1_,3,3,2,3,4
n66,2,6,3,3,6
n171,3,6,2,3,3
iXMIT_xmit_ShiftRegH_2_,3,3,2,3,4
n165,1,4,1,1,5
n69,4,12,1,2,18
n68,3,6,1,1,7
n166,3,6,2,3,3
n163,3,7,2,9,9
n164,3,5,1,1,5
n169,3,6,2,3,3
n167,3,6,2,3,3
uart_REC_dataH,0,0,1,1,0
n168,3,6,2,3,3
iXMIT_bitCountH_3_,3,3,3,4,17
sys_rst_l,0,0,83,220,0
rec_dataH_temp[5],3,6,2,2,17
iXMIT_xmit_doneInH,2,6,1,1,12
n72,1,2,1,4,12
n71,3,8,4,4,11
rec_dataH[4],3,3,1,1,16
iXMIT_state_1_,3,3,3,3,12
n74,1,2,1,1,16
n73,4,6,1,4,7
n75,3,9,2,7,6
iRECEIVER_bitCell_cntrH_0_,3,3,3,5,2
n77,3,9,1,1,11
n199,3,8,1,2,2
n79,1,4,2,2,14
n196,3,8,1,2,2
iXMIT_xmit_ShiftRegH_5_,3,3,2,3,4
rec_dataH_temp[4],3,6,2,2,20
n81,2,6,1,1,14
n80,2,6,3,4,22
n190,3,8,1,2,2
n83,2,6,2,2,26
rec_dataH[3],3,3,1,1,14
n82,3,9,1,1,11
n85,4,12,2,3,6
iXMIT_state_0_,3,3,5,8,10
n84,3,10,1,1,11
n87,4,10,1,1,8
n86,4,10,1,1,14
n89,2,6,1,1,7
n193,3,8,1,2,2
n88,1,4,2,2,7
iXMIT_xmit_ShiftRegH_4_,3,3,2,3,4
xmit_doneH,3,3,1,1,6
rec_dataH_temp[3],3,6,2,2,20
