Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
g30480,2,7,2,8,18,1,2
g30481,6,14,1,4,13,3,3
g30482,6,14,1,5,13,3,3
g30483,6,14,1,4,13,3,3
g30484,6,14,1,4,13,3,3
g30485,6,15,1,4,9,3,1
g30486,6,15,1,5,9,3,2
g30487,6,15,1,5,9,3,2
g8916,4,8,4,12,6,2,3
n4422,3,7,1,6,20,2,2
n5754,4,6,2,2,19,1,0
g8915,4,8,4,11,5,2,2
n4423,3,5,1,1,19,0,2
n5753,4,10,2,4,36,1,5
g8918,4,8,3,9,9,2,3
n4420,3,12,1,1,11,3,3
n5752,4,8,2,2,17,1,2
g8917,4,8,4,14,7,2,3
n4421,3,12,1,1,11,3,3
n5751,4,6,2,3,4,0,2
n5750,4,3,2,3,7,0,1
n4428,5,13,1,1,22,2,4
n4429,4,12,1,1,23,2,2
n5759,4,8,2,3,15,1,3
n4426,3,10,2,2,25,2,4
n5758,4,8,2,3,15,1,3
g8919,4,8,3,8,10,2,3
n4427,5,15,1,1,19,1,4
n5757,4,8,2,12,26,2,3
n4424,3,6,1,1,27,1,0
n5756,4,7,2,2,23,1,2
n4425,2,4,1,1,26,0,2
n5755,4,7,2,2,28,1,2
g30488,6,15,1,5,9,3,2
g30489,6,15,1,5,9,3,1
g13906,4,8,2,9,33,2,3
g30470,6,15,1,5,9,3,2
g30471,6,15,1,4,9,3,2
g8920,4,8,3,11,11,2,3
g30472,6,15,1,5,9,3,1
g30473,6,15,1,5,9,3,2
g30474,6,15,1,5,9,3,2
g30475,6,15,1,5,9,3,2
g30476,6,14,1,4,13,2,3
n4411,2,8,3,13,10,2,2
n5743,4,10,2,2,4,1,2
n4412,3,5,1,1,12,0,2
n5742,4,10,2,2,20,1,2
n5741,4,8,2,3,6,1,2
n4410,2,6,1,6,20,2,1
n5740,4,8,2,3,6,1,2
n4419,2,6,1,1,12,0,6
n4417,5,13,1,1,15,2,4
n5749,4,10,2,2,10,1,3
n4418,4,12,1,1,16,2,4
n5748,4,10,2,2,33,1,3
n4415,3,10,2,2,16,2,4
n5747,4,10,2,2,14,1,2
n4416,5,15,1,1,12,1,5
n5746,4,10,2,2,19,1,3
n4413,3,6,1,1,18,1,2
n5745,4,10,2,2,13,1,3
n4414,2,4,1,1,17,0,2
n5744,4,10,2,2,45,1,3
g30477,6,14,1,5,38,2,3
g30478,6,14,1,5,40,2,3
g30479,6,12,1,5,8,2,2
n3113,4,10,1,2,38,2,4
n4444,2,6,1,6,20,2,2
n5776,4,8,2,3,12,1,2
n3114,3,10,1,1,11,2,2
n4445,3,5,1,1,19,0,2
n5775,4,8,2,3,12,1,2
n3111,2,5,3,4,19,1,4
n4442,3,12,1,1,11,3,3
n5774,4,8,2,3,12,1,2
n3112,4,9,1,2,20,2,2
n4443,3,12,1,1,5,3,3
n5773,4,8,2,3,12,1,2
n4440,4,12,1,1,23,2,1
n5772,4,8,2,3,12,1,2
n3110,4,10,1,2,52,2,2
n4441,2,6,1,1,12,0,6
