Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
n4422,1,3,2,4,2,0,0
n4423,1,3,1,2,2,0,0
n4420,1,3,2,4,2,0,0
n4421,1,3,2,4,2,0,0
n4428,1,1,5,10,6,0,0
n4429,1,1,5,10,6,0,0
n4426,1,1,5,5,6,0,0
n4427,1,1,5,9,6,0,0
n4424,1,1,5,5,6,0,0
n4425,1,1,5,5,6,0,0
n4411,1,1,2,4,3,0,0
n4412,1,1,2,4,3,0,0
n4410,1,1,2,4,3,0,0
n4419,1,3,2,4,2,0,0
n4417,1,1,2,4,3,0,0
n4418,1,1,2,4,3,0,0
n4415,1,1,2,4,3,0,0
n4416,1,1,2,4,3,0,0
n4413,1,1,2,4,3,0,0
n4414,1,1,2,4,3,0,0
n3113,2,8,1,2,51,2,3
n4444,1,1,5,10,6,0,0
n3114,2,8,1,2,48,2,3
n4445,1,1,5,10,6,0,0
n3111,3,12,1,2,4,3,4
n4442,1,1,5,11,6,0,0
n3112,3,12,1,2,13,3,5
n4443,1,1,5,10,6,0,0
n4440,1,1,5,10,6,0,0
n3110,4,9,1,2,6,1,2
n4441,1,1,5,10,6,0,0
n3119,2,8,1,2,33,2,3
n3117,2,8,1,2,39,2,3
n4448,1,1,5,9,6,0,0
n3118,2,8,1,2,36,2,3
n4449,1,1,5,5,6,0,0
n3115,2,8,1,2,45,2,3
n4446,1,1,5,10,6,0,0
n3116,2,8,1,2,42,2,3
n4447,1,1,5,10,6,0,0
n3102,3,12,1,2,13,3,5
n4433,1,1,5,8,6,0,0
n3103,3,12,1,2,13,3,5
n4434,1,1,5,10,6,0,0
n3100,3,12,1,2,2,3,4
n4431,1,1,5,5,6,0,0
n3101,4,9,1,2,10,1,2
n4432,1,1,5,5,6,0,0
n4430,1,1,5,6,6,0,0
n3108,3,12,1,2,13,3,5
n4439,1,1,5,7,6,0,0
n3109,3,12,1,2,13,3,5
n3106,3,12,1,2,13,3,5
n4437,1,1,5,5,6,0,0
n3107,4,9,1,2,10,1,2
n4438,1,1,5,5,6,0,0
n3104,4,9,1,2,10,1,2
n4435,1,1,5,10,6,0,0
n3105,3,12,1,2,6,3,4
n4436,1,1,5,7,6,0,0
n3135,2,8,1,2,21,2,3
n4466,1,1,5,10,6,0,0
n3136,2,8,1,2,18,2,3
n4467,1,1,5,7,6,0,0
n3133,3,12,1,2,15,3,4
n4464,1,1,5,8,6,0,0
n3134,2,8,1,2,24,2,3
n4465,1,1,5,10,6,0,0
n3131,2,8,1,2,12,2,3
n4462,1,1,5,5,6,0,0
n3132,2,8,1,2,9,2,3
n4463,1,1,5,5,6,0,0
n4460,1,1,5,10,6,0,0
n3130,2,8,1,2,15,2,3
n4461,1,1,5,6,6,0,0
n3139,2,8,1,2,9,2,3
n3137,2,8,1,2,15,2,3
n4468,1,1,5,5,6,0,0
n3138,2,8,1,2,12,2,3
n4469,1,1,5,5,6,0,0
n3124,2,8,1,2,18,2,3
n4455,1,1,5,5,6,0,0
n3125,2,8,1,2,15,2,3
n4456,1,1,5,5,6,0,0
n3122,2,8,1,2,24,2,3
n4453,1,1,5,10,6,0,0
n3123,2,8,1,2,21,2,2
n4454,1,1,5,10,6,0,0
n3120,2,8,1,2,30,2,3
n4451,1,1,5,5,6,0,0
n3121,2,8,1,2,27,2,3
n4452,1,1,5,10,6,0,0
n4450,1,1,5,5,6,0,0
n3128,3,12,1,2,15,3,4
n4459,1,1,5,10,6,0,0
n3129,2,8,1,2,18,2,2
n3126,2,8,1,2,12,2,3
n4457,1,1,5,5,6,0,0
n3127,2,8,1,2,9,2,3
n4458,1,1,5,9,6,0,0
n4480,1,1,2,10,5,0,0
n4481,1,1,2,10,5,0,0
n3157,2,5,1,0,5,1,2
n4488,1,1,2,10,5,0,0
n4489,1,1,2,10,5,0,0
n3155,2,5,1,0,5,1,2
n4486,1,1,2,10,5,0,0
n4487,1,1,2,10,5,0,0
n3153,2,5,1,0,5,1,2
n4484,1,1,2,10,5,0,0
n4485,1,1,2,10,5,0,0
n3151,2,5,1,0,5,1,2
n4482,1,1,2,10,5,0,0
n4483,1,1,2,10,5,0,0
n3159,2,5,1,0,5,1,2
n4470,1,1,5,7,6,0,0
n4477,1,1,5,10,6,0,0
n3147,2,5,1,0,5,1,2
n4478,1,1,5,10,6,0,0
n3144,2,8,1,2,13,2,3
n4475,1,1,5,5,6,0,0
n3145,2,5,1,0,4,1,1
n4476,1,1,5,6,6,0,0
n3142,2,8,1,2,19,2,3
n4473,1,1,5,8,6,0,0
n3143,2,8,1,2,16,2,3
n4474,1,1,5,5,6,0,0
n3140,3,12,1,2,15,3,4
n4471,1,1,5,10,6,0,0
n3141,2,8,1,2,22,2,2
n4472,1,1,5,10,6,0,0
n4479,1,1,5,17,6,0,0
n3149,2,5,1,0,5,1,2
n3171,2,8,1,2,27,2,3
n3172,2,8,1,2,24,2,3
n3170,2,8,1,2,30,2,3
n3179,2,5,1,0,5,1,2
n3177,2,8,1,2,9,2,3
n3178,3,12,1,2,10,3,3
n3175,2,8,1,2,15,2,3
n3176,2,8,1,2,12,2,2
n3173,2,8,1,2,21,2,3
n3174,2,8,1,2,18,2,3
n4491,1,1,2,10,5,0,0
n3161,2,5,1,0,5,1,2
n4492,1,1,2,10,5,0,0
n4490,1,1,2,10,5,0,0
DFF_173_n1,4,6,1,1,14,1,1
n3168,2,8,1,2,36,2,3
n4499,1,1,2,10,5,0,0
n3169,2,8,1,2,33,2,3
n3166,2,8,1,2,42,2,3
n4497,1,1,2,10,5,0,0
n3167,2,8,1,2,39,2,3
n4498,1,1,2,10,5,0,0
n3164,2,8,1,2,48,2,3
n4495,1,1,2,10,5,0,0
n3165,2,8,1,2,45,2,3
n4496,1,1,2,10,5,0,0
n4493,1,1,2,10,5,0,0
n3163,2,8,1,2,51,2,3
n4494,1,1,2,10,5,0,0
n3193,2,8,1,2,19,2,3
n3194,2,8,1,2,16,2,3
n3191,2,8,1,2,9,2,3
n3192,3,12,1,3,10,3,4
n3190,2,8,1,2,12,2,3
n3199,2,5,1,0,5,1,2
n3197,2,5,1,0,5,1,2
n3195,2,8,1,2,13,2,2
n3196,2,8,1,2,10,2,3
n3182,2,8,1,2,15,2,3
n3183,2,8,1,2,12,2,3
n3181,2,8,1,2,18,2,3
n3188,2,8,1,2,18,2,3
n3189,2,8,1,2,15,2,3
n3186,2,8,1,2,24,2,3
n3187,2,8,1,2,21,2,3
n3184,2,8,1,3,9,2,3
n3185,3,12,1,2,10,3,4
DFF_161_n1,4,6,1,1,18,1,1
WX5657,4,6,4,7,65,1,2
WX6989,2,5,3,4,64,1,1
WX5658,2,5,3,5,62,1,1
WX6987,2,5,3,2,69,1,0
WX5656,2,5,2,6,64,1,1
WX6985,2,5,3,4,69,1,1
DFF_743_n1,4,6,1,1,17,1,0
WX5662,2,5,3,5,58,1,1
WX6993,2,5,3,4,66,1,1
WX5660,2,5,3,5,60,1,1
WX6991,2,5,3,4,65,1,1
WX6979,2,5,3,4,69,1,1
WX6977,2,5,3,5,69,1,1
WX6975,2,5,3,5,69,1,1
WX6973,2,5,3,5,69,1,1
DFF_1718_n1,4,6,1,1,26,1,1
DFF_1696_n1,4,6,1,1,12,1,2
WX6983,2,5,3,4,69,1,1
WX6981,2,5,3,4,69,1,1
WX6969,2,5,3,5,69,1,1
WX6967,2,5,3,5,69,1,1
WX6965,2,5,3,5,69,1,1
WX6963,2,5,3,5,68,1,1
DFF_1341_n1,4,6,1,1,47,1,1
WX6971,2,5,3,5,69,1,1
DFF_755_n1,4,6,1,1,17,1,1
WX6957,2,5,3,5,65,1,1
WX6955,2,5,3,5,64,1,1
WX6953,2,5,3,3,50,1,0
WX6951,2,5,3,5,52,1,1
WX6959,2,5,3,5,66,1,1
WX6961,2,5,3,5,67,1,1
DFF_1706_n1,4,6,1,1,26,1,1
WX4369,2,5,3,5,66,1,1
WX4367,2,5,3,5,65,1,1
WX5698,2,5,3,4,69,1,1
test_si100,0,0,2,4,0,0,0
WX4375,2,5,3,5,62,1,1
WX4373,2,5,3,5,64,1,1
WX4371,2,5,3,5,66,1,1
WX5688,2,5,3,4,69,1,1
WX5686,2,5,3,4,69,1,1
DFF_767_n1,4,6,1,1,53,1,1
WX4364,4,6,4,7,64,1,2
WX4365,2,5,3,5,64,1,1
WX5696,2,5,3,4,69,1,1
WX4363,2,5,2,6,74,1,1
WX5694,2,5,3,4,69,1,1
WX5692,2,5,3,4,69,1,1
WX5690,2,5,3,4,69,1,1
WX5678,2,5,3,5,67,1,1
WX5676,2,5,3,5,66,1,1
WX5684,2,5,3,5,69,1,1
WX5682,2,5,3,5,69,1,1
WX5680,2,5,3,5,68,1,1
WX5668,2,5,3,5,52,1,1
WX6999,2,5,3,4,68,1,1
WX5666,2,5,3,5,54,1,1
WX6997,2,5,3,4,68,1,1
WX5664,2,5,3,5,56,1,1
WX6995,2,5,3,4,67,1,1
WX5674,2,5,3,5,65,1,1
WX5672,2,5,3,5,64,1,1
WX5670,2,5,3,3,50,1,0
DFF_1148_n1,4,6,1,1,44,1,1
DFF_185_n1,4,6,1,1,35,1,1
WX498,2,5,2,5,22,1,2
WX499,4,6,3,6,23,2,3
WX496,2,5,2,5,24,1,2
DFF_551_n1,4,6,1,1,17,1,1
WX497,4,6,3,6,25,2,3
DFF_1136_n1,4,6,1,1,8,1,1
WX490,2,5,2,5,30,1,2
WX491,4,6,3,6,31,2,3
WX494,2,5,2,5,26,1,2
WX495,4,6,3,6,27,2,3
WX492,2,5,2,5,28,1,2
WX493,4,6,3,6,29,2,3
WX487,4,6,3,6,35,2,2
WX488,2,5,2,5,32,1,2
WX485,4,2,4,7,1,1,1
WX486,2,5,2,5,34,1,2
WX489,4,6,3,6,33,2,3
CRC_OUT_6_31,4,6,5,8,53,1,1
CRC_OUT_6_30,4,6,3,7,50,1,1
WX484,2,5,2,6,36,1,2
CRC_OUT_6_24,4,6,3,5,32,1,0
CRC_OUT_6_23,4,2,3,5,29,0,0
CRC_OUT_6_22,4,6,1,1,26,1,1
CRC_OUT_6_21,4,6,3,3,23,1,1
