Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
g587,4,8,3,7,7,1,3
g30482,4,8,1,3,13,1,3
g586,4,8,3,8,12,1,2
g3223,0,0,1,4,0,0,0
g585,4,8,3,8,10,1,2
DFF_313_n1,4,8,1,3,6,2,4
g3222,0,0,1,4,0,0,0
g584,4,8,3,8,14,1,2
g30485,4,8,1,3,11,2,3
g3221,0,0,1,4,0,0,0
g583,4,8,3,12,12,1,2
g3220,0,0,1,4,0,0,0
g582,4,8,3,12,10,1,1
g30487,4,8,1,3,11,1,3
g3227,0,0,1,4,0,0,0
g581,4,8,3,12,14,1,2
n4422,4,6,4,5,13,1,1
g3226,0,0,1,4,0,0,0
n4423,4,6,3,6,4,1,2
g3225,0,0,1,4,0,0,0
n4420,4,6,4,5,13,1,1
g3224,0,0,1,4,0,0,0
n4421,4,6,4,5,9,1,1
g3229,0,0,1,4,0,0,0
g3228,0,0,1,4,0,0,0
n4428,4,8,2,6,8,1,4
n4429,4,8,2,6,12,1,4
n4426,4,8,2,6,12,1,4
n4427,4,8,2,6,12,1,4
n4424,4,8,2,3,30,1,1
n4425,4,8,2,4,30,1,1
DFF_795_n1,4,8,1,1,7,2,4
g3230,0,0,1,5,0,0,0
g578,4,4,3,8,1,0,1
g577,4,8,3,11,12,1,2
g30470,4,8,1,3,15,2,3
g576,4,8,3,11,10,1,3
g575,4,8,3,11,14,1,2
g3234,0,0,4,13,0,0,0
g574,4,8,2,4,7,2,3
g3233,0,0,1,5,0,0,0
g573,4,8,2,4,10,2,4
DFF_1_n1,4,6,1,2,4,1,1
g3232,0,0,1,2,0,0,0
g572,4,8,2,4,9,2,3
g3231,0,0,2,5,0,0,0
g571,4,8,2,4,9,2,4
g570,4,8,2,4,8,2,3
n4411,4,7,4,4,13,1,1
n4412,4,7,4,4,13,1,1
n4410,4,7,4,4,17,1,1
n4419,4,6,4,5,13,1,1
n4417,4,6,4,4,9,1,1
n4418,4,6,4,4,13,1,1
DFF_301_n1,4,8,2,3,6,2,4
n4415,4,6,4,4,13,1,1
n4416,4,2,4,4,13,0,0
n4413,4,7,4,4,17,1,1
n4414,4,7,4,4,17,1,1
g579,4,8,3,7,10,1,2
g3201,4,8,5,18,25,1,1
n3113,2,4,2,2,15,0,2
n4444,4,8,1,1,12,1,4
g3204,4,8,6,24,10,1,1
DFF_783_n1,4,8,1,2,14,1,2
n3114,3,13,1,3,15,0,0
n4445,4,8,1,1,12,1,3
n3111,2,5,3,4,14,1,2
n4442,4,8,1,1,10,1,3
n3112,2,4,2,2,13,0,1
n4443,4,8,1,1,12,1,3
n4440,4,8,1,1,14,1,4
n3110,2,10,3,4,13,1,5
n4441,4,8,1,1,12,1,4
g3207,4,8,6,23,17,1,1
n3119,2,12,3,4,12,0,8
n3117,5,9,1,1,14,0,3
n4448,4,8,1,1,14,1,4
n3118,2,5,3,4,13,1,2
n4449,4,8,1,1,8,1,4
n3115,5,9,1,1,14,0,3
n4446,4,8,1,1,12,1,4
n3116,3,6,1,1,14,0,1
n4447,4,8,1,1,14,1,2
g599,4,8,3,5,9,1,3
g3212,0,0,1,2,0,0,0
g596,4,8,3,7,7,1,3
g3211,4,4,3,6,12,0,3
g593,4,8,3,5,11,1,3
g3216,0,0,1,4,0,0,0
n3102,2,10,4,10,31,1,7
n4433,4,8,1,1,14,1,3
g3215,0,0,1,4,0,0,0
n3103,3,13,1,2,7,0,0
n4434,4,8,1,1,10,1,3
g3214,0,0,1,4,0,0,0
g590,4,8,3,5,9,1,3
n3100,2,2,1,3,12,0,0
n4431,4,7,2,4,18,1,1
g3213,0,0,1,5,0,0,0
n3101,3,9,1,3,9,0,3
n4432,4,10,1,1,11,1,5
g3219,0,0,1,3,0,0,0
n4430,4,10,2,3,13,1,5
g3218,0,0,1,4,0,0,0
g3217,0,0,1,4,0,0,0
n3108,2,5,3,4,5,1,2
n4439,4,8,1,1,10,1,4
n3109,2,7,3,4,12,0,5
n3106,5,10,1,1,14,0,4
n4437,4,8,1,1,10,1,3
n3107,2,10,4,5,13,1,7
n4438,4,8,1,1,14,1,3
n3104,5,10,1,1,6,0,4
n4435,4,4,1,1,12,0,3
n3105,3,5,1,1,14,0,0
n4436,4,8,1,1,10,1,4
g1481,4,8,5,22,3,1,3
n3135,2,10,4,5,13,1,7
n4466,4,8,5,5,6,2,2
n3136,2,5,3,4,14,1,2
n4467,4,6,4,5,13,1,1
g1486,4,8,5,17,3,1,3
n3133,3,5,1,1,15,0,0
n4464,4,8,5,5,8,2,4
g18794,4,13,2,9,9,3,4
n3134,5,10,1,1,14,0,4
n4465,4,8,5,5,8,2,4
n3131,3,13,1,2,16,0,0
n4462,4,5,5,5,4,1,3
n3132,5,10,1,1,15,0,4
n4463,4,8,5,5,8,2,4
n4460,4,5,5,5,6,1,3
n3130,2,10,4,10,31,1,6
n4461,4,4,5,5,5,1,1
n3139,2,5,3,4,16,1,1
n3137,2,12,3,4,13,0,9
n4468,4,6,4,5,13,1,1
n3138,2,10,3,4,4,1,5
n4469,4,6,4,5,9,1,1
g1491,4,8,6,21,3,1,3
g1496,4,8,5,19,3,1,3
n3124,2,10,2,4,13,1,8
n4455,4,8,5,5,7,2,2
n3125,3,6,1,2,14,0,0
n4456,4,5,5,5,6,1,3
n3122,2,4,2,2,13,0,1
n4453,4,4,1,1,3,0,3
n3123,2,4,2,2,4,0,2
n4454,4,8,1,1,13,2,3
n3120,2,10,3,4,3,1,4
n4451,4,8,1,1,10,1,4
n3121,2,5,3,4,13,1,2
n4452,4,8,1,1,10,1,3
n4450,4,8,1,1,10,1,4
n3128,2,2,1,3,14,0,0
n4459,4,8,5,5,7,2,2
n3129,3,9,1,3,11,0,5
n3126,2,5,1,1,32,0,2
n4457,4,8,5,5,7,2,2
n3127,2,8,1,1,32,1,2
n4458,4,5,5,5,6,1,3
DFF_999_n1,4,8,2,3,5,2,4
g2790,4,8,3,6,11,1,3
n4480,4,7,2,3,17,1,2
n3150,2,4,2,2,14,0,1
n4481,4,6,2,4,18,1,0
g1462,4,7,4,8,12,1,1
g2794,4,8,3,6,9,1,3
g2793,4,8,3,6,11,1,3
g2792,4,8,3,6,10,1,3
g2791,4,8,3,6,9,1,3
g1466,4,6,4,8,7,1,1
g2798,4,8,3,6,10,1,3
n3157,2,2,5,10,27,0,0
n4488,4,10,1,1,9,1,5
g2797,4,8,3,7,9,1,3
n3158,2,6,1,1,32,2,2
n4489,4,8,1,1,5,1,4
n3155,5,16,1,2,5,3,6
n4486,4,8,3,3,3,2,4
g2795,4,8,3,6,10,1,3
n3156,3,13,2,6,6,2,7
n4487,4,10,1,1,4,1,5
n3153,3,6,1,2,15,0,0
n4484,4,8,3,5,13,2,4
n3154,6,18,6,10,10,4,6
n4485,4,8,3,5,11,2,4
n3151,2,4,2,2,14,0,2
n4482,4,6,2,4,19,1,1
g2799,4,8,3,7,11,1,3
n3152,2,10,2,4,13,1,5
n4483,4,8,3,5,13,2,4
n3159,2,6,2,4,31,1,3
g30468,4,8,1,3,11,1,3
n4470,4,6,4,5,13,1,1
g1471,4,8,5,16,3,1,3
